Node_BC,node_cn_0,score_cn_0,node_cn_1,score_cn_1,node_cn_2,score_cn_2
Verre plat à motifs,motifs,31.0299,par ces motifs,31.0299,émotifs,29.26458
Verre plat au plomb / cristal,verre de plomb,37.296432,cristal,28.339617,voix de cristal,25.444489
Verre plat courbé,courbé,28.88288,courbée,27.239704,courbés,27.239704
Verre plat de sécurité laminé,sécurité,40.0057,sécurités,37.962242,insécurité,36.117397
Verre plat flotté,verre flotté,41.528545,flotté,29.859562,flottée,28.160824
Veste,veste,15.980313,vestes,15.980313,se payer une veste,13.252904
Viande de porc,viande,28.066475,viandes,28.066475,se viander,26.469748
Viande de veau,viande de veau,40.967793,viande,28.066475,viandes,28.066475
Vidéo projecteur,vidéoprojecteur,57.62079,vidéoprojecteurs,55.45276,projecteur,50.376133
Videoprojecteur,vidéoprojecteur,51.60018,projecteur,50.376133,vidéoprojecteurs,49.65868
Viennoiserie brioche,viennoiserie,38.108948,viennoiseries,36.49262,briennoise,34.70163
Viennoiserie pain au chocolat,pain au chocolat,44.951523,pains au chocolat,42.868263,chocolat noir,40.06921
Viennoiseries,viennoiseries,40.985764,viennoiserie,38.108948,viennoises,33.30373
Vignes,vignes,26.668606,les vignes,26.668606,val des vignes,25.151402
Vin,vin,9.56458,coq au vin,8.908459,ovin,8.908459
Vinaigre de vin,vinaigre,44.854935,vinaigrer,42.563786,vinaigres,42.563786
Voirie,voirie,26.173777,voiries,24.684727,ivoirien,23.355978
Voiture particulière,particulière,48.15456,particulières,46.021698,carte particulière,44.105743
"Volley, genouillères",genouillères,47.072002,genouillère,45.662766,quenouillères,41.71139
Vraquier,vraquier,35.405643,vraquiers,33.4998,baraquier,25.745445
Yaourt,yaourt,35.704414,yaourts,33.673157,pot de yaourt,33.673157
yaourtière,yaourtière,51.102848,yaourtières,48.73451,yaourt,35.704414
Zinc,zinc,18.089334,zincs,16.928083,zincou,15.906931
