Node_BC,node_cn_0,score_cn_0,node_cn_1,score_cn_1,node_cn_2,score_cn_2
Pâte à tarte,pâte à tarte,32.302635,pâte à tartiner,21.765324,tarte,21.711353
Pâtes,pâte,15.749696,pâtes,15.749696,gâte pâte,15.224717
Pavé de saumon grillé,saumon,26.784264,saumont,26.784264,grillé,25.668137
Pêche,pêche,26.153309,pêcher,24.57566,pêches,24.57566
PET bouteille,bouteille,36.262054,bouteilles,36.262054,la bouteille,36.262054
Petites fournitures,fournitures,45.342377,fourniture,43.780594,autofournitures,38.25139
Pétrole Brut,pétrole brut,43.438225,pétrole,32.657253,pétroles,32.657253
Pétrole brut,pétrole brut,43.438225,pétrole,32.657253,pétroles,32.657253
Pétrolier,pétrolier,38.452747,pétroliers,36.584064,état pétrolier,34.888588
Photocopieurs,photocopieurs,55.386314,photocopieur,52.898403,photocopieuse,48.682472
Phytosanitaire moyen,phytosanitaire,58.438526,phytosanitaires,56.153763,zoosanitaire,37.197445
Pierre à chaud,pierre à chaux,34.17036,pierres à chaux,32.42497,le champ de la pierre,26.071682
Pierres de carrière,pierrières,42.03385,pierrière,40.223305,carrières,38.612495
Pile alcaline  AAA,pile alcaline,43.760986,alcaline,35.443527,alcalines,33.633102
Pile alcaline AA,pile alcaline,43.760986,alcaline,35.443527,alcalines,33.633102
Piment et poivre,poivre,34.368595,poivrent,33.076065,poivrer,32.413334
Piquets acacia,acacia,30.76521,piquets,29.663897,acacias,29.014946
Piquets acier galvanisé (acier 40% recyclage),recyclage,46.163853,recyclages,43.920433,galvanisé,42.048336
Piquets acier galvanisé,galvanisé,42.048336,galvanisée,40.004917,galvanisés,40.004917
Pirogues,pirogues,38.40479,pirogue,34.723206,piroguer,32.8541
Pizza,pizza,37.44895,pizzas,35.189922,pizza hut,35.189922
Plaquettes forestières,forestières,42.979237,la forestière,42.322067,forestière,42.322067
Plaquettes forestières_,forestières,42.979237,la forestière,42.322067,forestière,42.322067
Plastique,plastique,31.949333,plastiquer,30.31739,art plastique,30.31739
Plastique moyen,plastique,31.949333,plastiquer,30.31739,art plastique,30.31739
Plastique PE,plastique,31.949333,plastiquer,30.31739,art plastique,30.31739
Plastique PET,plastique,31.949333,plastiquer,30.31739,art plastique,30.31739
Plastique PP,plastique,31.949333,plastiquer,30.31739,art plastique,30.31739
Plastique PS,plastique,31.949333,plastiquer,30.31739,art plastique,30.31739
Plastique PVC,plastique,31.949333,plastiquer,30.31739,art plastique,30.31739
Plomb,plomb,24.063313,à plomb,24.063313,aplomb,22.611742
"Plongée, bouteille",bouteille de plongée,54.775547,bouteilles de plongée,54.775547,bouteille,36.262054
"Plongée, masque",masque de plongée,49.60085,plongée,36.20118,plongées,34.252518
"Plongée, tuba",plongée,36.20118,plongées,34.252518,déplongée,32.50293
Pneumatiques Usagés,pneumatiques,50.497734,pneumatique,47.940563,neumatiques,44.028038
Poids lourd,poids lourd,43.376793,poids mi lourd,43.376793,poids lourds,41.161144
Poire,poire,21.307117,ma poire,21.307117,sa poire,21.307117
